,endTime,artistName,trackName,msPlayed
0,2020-05-01 02:01,SAINt JHN,Roses - Imanbek Remix,176218
1,2020-05-01 02:04,Ehrling,In My Soul,1909
2,2020-05-01 02:04,The Middle Coast,Me Tonight,177426
3,2020-05-01 02:07,Kygo,Like It Is,183067
4,2020-05-01 02:10,Tep No,"Breathe, Be Happy - French Braids Remix",171250
5,2020-05-01 02:14,Alesso,One Last Time,240383
6,2020-05-01 02:16,MEDUZA,Born To Love (feat. SHELLS),162295
7,2020-05-01 02:20,Field Report,Home (Leave the Lights On),221146
8,2020-05-01 02:24,Ripe,Little Less Polite,262408
9,2020-05-01 02:28,JONES,Hoops - Acoustic,206062
10,2020-05-01 02:28,The Rubens,Hoops,31133
11,2020-05-01 02:31,SAINt JHN,Roses - Imanbek Remix,176218
12,2020-05-01 02:34,Medasin,Everytime,170884
13,2020-05-01 02:38,Louis The Child,Love Is Alive (feat. Elohim) - Chet Porter Remix,200969
14,2020-05-01 02:41,BUNT.,Sure Don't Miss You (feat. The Dip),202992
15,2020-05-01 02:45,Ripe,Backup,224573
16,2020-05-01 02:48,Diplo,Heartless (with Julia Michaels & Morgan Wallen),172973
17,2020-05-01 02:51,FISHER,Freaks,175255
18,2020-05-01 02:54,ODESZA,Line Of Sight - Chet Porter Remix,232249
19,2020-05-01 02:59,Lauv,Modern Loneliness,252337
20,2020-05-01 04:10,Flume,The Difference,8777
21,2020-05-01 14:11,BRONSON,HEART ATTACK (feat. lau.ra),209600
22,2020-05-01 14:14,Lemaitre,Joe,197122
23,2020-05-01 14:18,Golden Features,Paradise,215253
24,2020-05-01 14:22,ODESZA,Memories That You Call (feat. Monsoonsiren) - ODESZA & Golden Features VIP Remix,219506
25,2020-05-01 14:26,BRONSON,VAULTS,244453
26,2020-05-01 14:29,Milky Chance,Don't Let Me Down,200391
27,2020-05-01 14:32,Quinn XCII,Coffee,180053
28,2020-05-01 14:35,Steve Brian,Astral Haven - Paul Arcane Remix,160492
29,2020-05-01 18:00,Gryffin,Need Your Love (feat. Noah Kahan) - Nurko Remix,106607
30,2020-05-01 18:00,BRONSON,HEART ATTACK (feat. lau.ra),10432
31,2020-05-01 18:04,BRONSON,HEART ATTACK (feat. lau.ra),209600
32,2020-05-01 18:08,BRONSON,VAULTS,244453
33,2020-05-01 18:11,BRONSON,HEART ATTACK (feat. lau.ra),209600
34,2020-05-01 18:15,BRONSON,VAULTS,244453
35,2020-05-01 18:19,BRONSON,HEART ATTACK (feat. lau.ra),209600
36,2020-05-01 18:23,BRONSON,VAULTS,244453
37,2020-05-01 18:26,BRONSON,HEART ATTACK (feat. lau.ra),209600
38,2020-05-01 18:31,BRONSON,VAULTS,244453
39,2020-05-01 18:34,BRONSON,HEART ATTACK (feat. lau.ra),209600
40,2020-05-01 18:38,BRONSON,VAULTS,244453
41,2020-05-01 18:42,BRONSON,HEART ATTACK (feat. lau.ra),209600
42,2020-05-01 18:46,BRONSON,VAULTS,244453
43,2020-05-01 18:49,BRONSON,HEART ATTACK (feat. lau.ra),209600
44,2020-05-01 18:53,BRONSON,VAULTS,244453
