,name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,artist_name,artist_genres,artist_popularity,track_popularity
0,Roses - Imanbek Remix,0.769,0.719,8.0,-5.472,1.0,0.0474,0.0143,0.00777,0.359,0.863,121.955,track,0zLCBJZSiELJf02ucPP9wb,spotify:track:0zLCBJZSiELJf02ucPP9wb,https://api.spotify.com/v1/tracks/0zLCBJZSiELJf02ucPP9wb,https://api.spotify.com/v1/audio-analysis/0zLCBJZSiELJf02ucPP9wb,176867,4.0,SAINt JHN,"['melodic rap', 'rap', 'slap house']",80.0,74.0
1,In My Soul,0.674,0.801,0.0,-7.34,1.0,0.0399,0.176,0.447,0.266,0.752,124.104,track,443pVyfo5UEloBAYa91tXf,spotify:track:443pVyfo5UEloBAYa91tXf,https://api.spotify.com/v1/tracks/443pVyfo5UEloBAYa91tXf,https://api.spotify.com/v1/audio-analysis/443pVyfo5UEloBAYa91tXf,195484,4.0,Ehrling,['tropical house'],65.0,40.0
2,Me Tonight,0.661,0.655,0.0,-7.499,1.0,0.026,0.0454,0.0168,0.121,0.601,113.066,track,2uFCDWBNbw2vKx0Iux69zD,spotify:track:2uFCDWBNbw2vKx0Iux69zD,https://api.spotify.com/v1/tracks/2uFCDWBNbw2vKx0Iux69zD,https://api.spotify.com/v1/audio-analysis/2uFCDWBNbw2vKx0Iux69zD,177427,4.0,The Middle Coast,['manitoba indie'],31.0,44.0
3,Like It Is,0.794,0.728,1.0,-6.759,1.0,0.114,0.121,8.82e-06,0.227,0.36,105.024,track,3frUvGrmGcay91lvFbOgsN,spotify:track:3frUvGrmGcay91lvFbOgsN,https://api.spotify.com/v1/tracks/3frUvGrmGcay91lvFbOgsN,https://api.spotify.com/v1/audio-analysis/3frUvGrmGcay91lvFbOgsN,183067,4.0,Kygo,"['edm', 'pop', 'pop dance', 'tropical house']",87.0,71.0
4,"Breathe, Be Happy - French Braids Remix",0.828,0.729,3.0,-5.198,1.0,0.13,0.0395,0.0208,0.103,0.658,107.994,track,2mCs9yDHgcwbYwGSaT7D7a,spotify:track:2mCs9yDHgcwbYwGSaT7D7a,https://api.spotify.com/v1/tracks/2mCs9yDHgcwbYwGSaT7D7a,https://api.spotify.com/v1/audio-analysis/2mCs9yDHgcwbYwGSaT7D7a,171250,4.0,Tep No,"['deep tropical house', 'indie poptimism', 'new french touch', 'tropical house', 'vapor soul']",62.0,36.0
5,One Last Time,0.566,0.909,8.0,-7.281,0.0,0.054,0.004,0.0932,0.156,0.382,127.037,track,17kleFbwU5STT8AiR1EXOT,spotify:track:17kleFbwU5STT8AiR1EXOT,https://api.spotify.com/v1/tracks/17kleFbwU5STT8AiR1EXOT,https://api.spotify.com/v1/audio-analysis/17kleFbwU5STT8AiR1EXOT,240384,4.0,Alesso,"['dance pop', 'edm', 'electro house', 'pop', 'pop dance', 'progressive electro house', 'tropical house']",80.0,55.0
6,Born To Love (feat. SHELLS),0.722,0.856,1.0,-6.392,0.0,0.0338,0.0305,0.0597,0.231,0.827,121.99,track,7cX5H82DTZ5iHRLbewBEBd,spotify:track:7cX5H82DTZ5iHRLbewBEBd,https://api.spotify.com/v1/tracks/7cX5H82DTZ5iHRLbewBEBd,https://api.spotify.com/v1/audio-analysis/7cX5H82DTZ5iHRLbewBEBd,162295,4.0,MEDUZA,"['dance pop', 'edm', 'pop dance', 'pop house', 'tropical house']",83.0,65.0
7,Home (Leave the Lights On),0.711,0.625,2.0,-7.605,1.0,0.0257,0.216,0.00046,0.0797,0.462,101.99,track,1nplIOuXXSjLSZdxYTqnZe,spotify:track:1nplIOuXXSjLSZdxYTqnZe,https://api.spotify.com/v1/tracks/1nplIOuXXSjLSZdxYTqnZe,https://api.spotify.com/v1/audio-analysis/1nplIOuXXSjLSZdxYTqnZe,221147,4.0,Field Report,"['milwaukee indie', 'stomp and flutter']",26.0,28.0
8,Little Less Polite,0.778,0.736,9.0,-6.295,0.0,0.0593,0.0084,0.000315,0.0835,0.537,119.992,track,74qveXO6QQiYVqBx9J2nrZ,spotify:track:74qveXO6QQiYVqBx9J2nrZ,https://api.spotify.com/v1/tracks/74qveXO6QQiYVqBx9J2nrZ,https://api.spotify.com/v1/audio-analysis/74qveXO6QQiYVqBx9J2nrZ,262409,4.0,Ripe,['boston indie'],51.0,32.0
9,Hoops - Acoustic,0.739,0.198,11.0,-6.789,0.0,0.0326,0.883,0.0,0.107,0.192,119.954,track,4os68qINs29EvlHxXmsjVG,spotify:track:4os68qINs29EvlHxXmsjVG,https://api.spotify.com/v1/tracks/4os68qINs29EvlHxXmsjVG,https://api.spotify.com/v1/audio-analysis/4os68qINs29EvlHxXmsjVG,206062,4.0,JONES,['uk contemporary r&b'],51.0,40.0
